[1, 32, 49, 54, 21, 16, 26, 79, 73, 90, 31, 27, 74, 56, 59, 6, 68, 8, 77, 67, 13, 22, 5, 88, 53, 40, 85, 46, 14, 45, 86, 95, 64, 42, 61, 62, 15, 39, 37, 10, 80, 28, 93, 25, 78, 63, 50, 3, 94, 47, 34, 19, 72, 4, 69, 17, 87, 60, 58, 82, 35, 36, 55, 33, 2, 11, 52, 83, 51, 12, 57, 44, 9, 92, 75, 84, 30, 20, 89, 29, 91, 38, 41, 23, 70, 66, 7, 24, 18, 71, 81, 76, 43, 48, 65, 96]
[1, 31, 53, 88, 40, 91, 13, 12, 93, 76, 65, 8, 90, 15, 83, 81, 58, 70, 55, 28, 10, 75, 26, 54, 48, 74, 79, 77, 37, 51, 2, 86, 50, 52, 35, 36, 68, 56, 17, 92, 38, 19, 73, 94, 34, 30, 64, 25, 72, 33, 67, 63, 3, 24, 78, 59, 5, 80, 41, 29, 61, 62, 45, 47, 11, 95, 46, 60, 20, 18, 23, 49, 43, 71, 22, 87, 69, 42, 27, 39, 16, 14, 82, 7, 89, 32, 21, 4, 85, 84, 6, 57, 9, 44, 66, 96]
[1, 11, 25, 24, 71, 81, 76, 70, 43, 5, 95, 18, 87, 60, 29, 91, 38, 85, 34, 55, 57, 75, 90, 4, 94, 84, 8, 78, 58, 28, 65, 31, 47, 30, 61, 62, 80, 83, 41, 23, 15, 45, 9, 49, 46, 20, 33, 44, 53, 64, 77, 51, 48, 88, 52, 82, 74, 56, 14, 17, 35, 36, 67, 50, 66, 32, 69, 39, 19, 89, 13, 3, 93, 7, 22, 40, 42, 63, 12, 59, 6, 68, 37, 10, 79, 2, 92, 54, 27, 21, 16, 26, 73, 72, 86, 96]
[1, 44, 31, 93, 29, 6, 38, 18, 88, 15, 49, 70, 56, 23, 26, 16, 21, 89, 52, 78, 14, 22, 80, 73, 65, 39, 12, 42, 84, 77, 94, 25, 64, 51, 35, 36, 7, 57, 87, 37, 92, 34, 54, 95, 30, 28, 50, 11, 86, 47, 69, 67, 2, 43, 63, 5, 60, 10, 40, 90, 61, 62, 46, 33, 72, 3, 20, 13, 55, 85, 58, 32, 24, 17, 75, 83, 19, 45, 8, 76, 81, 71, 74, 41, 27, 48, 82, 9, 79, 59, 91, 68, 4, 66, 53, 96]
[1, 25, 86, 43, 83, 16, 58, 8, 24, 38, 94, 12, 80, 92, 57, 6, 84, 18, 78, 77, 41, 22, 68, 9, 2, 60, 27, 69, 74, 67, 48, 53, 33, 63, 61, 62, 71, 10, 90, 82, 21, 55, 4, 65, 52, 51, 47, 31, 66, 50, 46, 45, 32, 93, 42, 76, 15, 7, 87, 26, 35, 36, 34, 64, 44, 49, 30, 23, 28, 70, 37, 95, 88, 29, 75, 56, 20, 19, 79, 13, 91, 40, 5, 17, 85, 3, 59, 73, 89, 39, 81, 14, 54, 11, 72, 96]
[1, 3, 95, 9, 38, 91, 29, 27, 4, 17, 25, 79, 37, 87, 21, 81, 26, 12, 28, 51, 39, 75, 82, 43, 86, 14, 89, 67, 57, 63, 53, 49, 47, 78, 35, 36, 5, 84, 23, 56, 90, 20, 24, 31, 55, 52, 33, 32, 65, 64, 45, 42, 66, 73, 77, 7, 41, 74, 13, 92, 61, 62, 19, 50, 48, 44, 34, 40, 30, 8, 83, 11, 54, 15, 22, 58, 46, 69, 85, 71, 16, 76, 10, 60, 18, 72, 80, 93, 70, 68, 6, 59, 88, 2, 94, 96]
[1, 48, 32, 73, 82, 81, 80, 12, 54, 56, 44, 8, 39, 57, 5, 91, 7, 70, 42, 69, 38, 75, 60, 93, 31, 29, 79, 20, 71, 46, 25, 3, 50, 45, 61, 62, 23, 76, 84, 14, 10, 78, 88, 11, 63, 67, 64, 2, 95, 33, 30, 34, 86, 9, 19, 87, 83, 13, 21, 74, 35, 36, 52, 47, 94, 72, 51, 26, 77, 18, 68, 66, 4, 37, 22, 59, 28, 55, 27, 90, 6, 92, 40, 58, 89, 53, 41, 43, 85, 17, 16, 15, 24, 65, 49, 96]
[1, 95, 94, 4, 13, 6, 40, 89, 9, 71, 86, 85, 92, 17, 58, 16, 83, 79, 30, 52, 74, 22, 21, 24, 72, 10, 70, 63, 56, 78, 66, 65, 33, 28, 35, 36, 59, 37, 15, 90, 29, 46, 43, 53, 20, 55, 47, 49, 48, 50, 42, 77, 44, 54, 51, 68, 7, 82, 60, 38, 61, 62, 69, 64, 32, 31, 19, 41, 34, 27, 87, 25, 73, 76, 75, 23, 45, 67, 18, 14, 81, 39, 80, 5, 12, 11, 26, 88, 8, 57, 91, 84, 93, 3, 2, 96]
[1, 65, 48, 54, 74, 16, 10, 18, 73, 57, 66, 70, 76, 68, 60, 6, 41, 89, 45, 19, 92, 22, 13, 88, 44, 90, 12, 55, 17, 20, 11, 2, 64, 46, 61, 62, 58, 15, 59, 71, 14, 63, 93, 72, 67, 69, 50, 94, 3, 47, 28, 30, 25, 4, 34, 83, 26, 38, 82, 39, 35, 36, 51, 33, 95, 86, 77, 80, 42, 85, 7, 53, 9, 84, 75, 5, 78, 52, 8, 56, 91, 37, 29, 21, 27, 31, 40, 24, 79, 87, 81, 23, 43, 49, 32, 96]
[1, 66, 44, 88, 7, 91, 5, 85, 93, 74, 32, 89, 40, 39, 17, 81, 15, 27, 46, 34, 26, 75, 87, 54, 49, 21, 18, 52, 38, 55, 95, 11, 50, 20, 35, 36, 56, 29, 14, 13, 60, 67, 73, 3, 69, 19, 64, 72, 25, 33, 78, 28, 94, 24, 30, 37, 84, 83, 68, 41, 61, 62, 77, 47, 86, 2, 42, 59, 45, 79, 76, 48, 43, 10, 22, 71, 63, 51, 70, 82, 16, 80, 58, 57, 8, 65, 23, 4, 12, 92, 6, 90, 9, 53, 31, 96]
